method,bmi,trial,snr_db,respiration_true_bpm,respiration_est_bpm,respiration_abs_error_bpm,heart_true_bpm,heart_est_bpm,heart_abs_error_bpm,spatial_sinr_db
1-layer RIS (BMI-adaptive),22.0,5.0,8.0,20.019028532045603,19.96413826302532,0.05489026902028371,58.92963077624817,58.7207844614389,0.2088463148092643,3.642948849212418
3-layer SIM (universal),22.0,5.0,8.0,20.019028532045603,19.965103270116995,0.05392526192860814,58.92963077624817,58.896191374104184,0.03343940214398344,4.559328173220678
3-layer SIM (BMI-adaptive),22.0,5.0,8.0,20.019028532045603,19.967001564176762,0.05202696786884076,58.92963077624817,58.85354956037379,0.07608121587437466,6.293203532069852
No intelligent surface,22.0,6.0,8.0,21.45818458377225,3.6772609416618556,17.780923642110395,89.60762128507243,58.1625856472026,31.44503563786983,-7.5435348956932575
Digital MVDR array (BMI-adaptive),22.0,6.0,8.0,21.45818458377225,21.409131072973427,0.04905351079882436,89.60762128507243,89.47381868374958,0.1338026013228415,6.156669887951912
1-layer RIS (BMI-adaptive),22.0,6.0,8.0,21.45818458377225,21.42381528104634,0.03436930272590999,89.60762128507243,89.73001539633123,0.1223941112587994,3.399490041659085
3-layer SIM (universal),22.0,6.0,8.0,21.45818458377225,21.39979389402658,0.05839068974567141,89.60762128507243,89.39058967238289,0.21703161268953863,3.720362214833324
3-layer SIM (BMI-adaptive),22.0,6.0,8.0,21.45818458377225,21.41529648204411,0.04288810172814195,89.60762128507243,89.71597902977105,0.10835774469862258,5.856149393115776
No intelligent surface,22.0,7.0,8.0,16.651904672900198,4.565912047982485,12.085992624917713,98.85325310722482,67.06565762769839,31.78759547952643,-7.543414917469394
Digital MVDR array (BMI-adaptive),22.0,7.0,8.0,16.651904672900198,16.63372139564342,0.01818327725677804,98.85325310722482,98.74121745447314,0.11203565275167193,5.9914347614315355
1-layer RIS (BMI-adaptive),22.0,7.0,8.0,16.651904672900198,16.60305725629494,0.04884741660525904,98.85325310722482,99.01005620206539,0.1568030948405692,3.118988186944561
3-layer SIM (universal),22.0,7.0,8.0,16.651904672900198,16.59374520223704,0.0581594706631563,98.85325310722482,98.7459872985435,0.10726580868131919,4.1430690578535
3-layer SIM (BMI-adaptive),22.0,7.0,8.0,16.651904672900198,16.606360060227416,0.045544612672781426,98.85325310722482,98.86994414272765,0.016691035502830687,5.741824191553148
No intelligent surface,22.0,8.0,8.0,24.167698953589568,6.627505856899671,17.540193096689897,87.91422260085596,47.21722483762144,40.69699776323453,-7.54348179166885
Digital MVDR array (BMI-adaptive),22.0,8.0,8.0,24.167698953589568,24.10700183819778,0.06069711539178613,87.91422260085596,87.94962049182587,0.035397890969903756,6.475794652660321
1-layer RIS (BMI-adaptive),22.0,8.0,8.0,24.167698953589568,24.10692329282809,0.06077566076147889,87.91422260085596,87.97519869281007,0.06097609195410314,3.576840215768553
3-layer SIM (universal),22.0,8.0,8.0,24.167698953589568,24.107118182746305,0.060580770843262854,87.91422260085596,87.71524876530034,0.19897383555561987,4.987877921631964
3-layer SIM (BMI-adaptive),22.0,8.0,8.0,24.167698953589568,24.12146868367874,0.046230269910829236,87.91422260085596,87.9206130261311,0.006390425275128564,6.382313838489199
No intelligent surface,22.0,9.0,8.0,16.76661890501842,4.500481643308726,12.266137261709693,71.97856718861588,57.135558921222895,14.843008267392989,-7.544298983819136
Digital MVDR array (BMI-adaptive),22.0,9.0,8.0,16.76661890501842,16.723958184154053,0.04266072086436523,71.97856718861588,71.7199279818533,0.2586392067625809,5.841520555957386
1-layer RIS (BMI-adaptive),22.0,9.0,8.0,16.76661890501842,16.713610066624543,0.05300883839387538,71.97856718861588,72.03234217756909,0.05377498895320798,3.3685267646752437
